Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/biocloud/v1/face/vis/register?nonce=0C0YA59lBjhaETXN&timestamp=1732085600&signature=f24eaee7e0903da1c54b9b841625c574787fbffe0ecd7792aa679ac9cf56a16d&templateId=DAKw9dD,1,0,3145.879900024738,3145.879900024738,3145.879900024738,3145.879900024738,1558.0,0.01503358034050147,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
POST,/biocloud/v1/face/vis/register?nonce=5FHYlTUrDOtCIWln&timestamp=1732085644&signature=49eddd975881fd32378cc6753a53b09481eef0a67bbee2613a538865166c4cd8&templateId=HOl4qKq,1,0,4044.773500005249,4044.773500005249,4044.773500005249,4044.773500005249,1569.0,0.01503358034050147,0.0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
POST,/biocloud/v1/face/vis/register?nonce=7eWdfw4g7RBWaY7q&timestamp=1732085639&signature=37a22a2cc80eb35473d551294cb66fb353d4369f3cb39c5629a12fa113773ee3&templateId=FMujqgz,1,0,6568.3200000203215,6568.3200000203215,6568.3200000203215,6568.3200000203215,1558.0,0.01503358034050147,0.0,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600
POST,/biocloud/v1/face/vis/register?nonce=7v9fR6G5csAnhAxV&timestamp=1732085650&signature=28fdec3cd596556c4326392ffd429ddc23f9428b664306c4fe60b1e7f3b8da91&templateId=7xrvDLt,1,0,895.8244000095874,895.8244000095874,895.8244000095874,895.8244000095874,81.0,0.01503358034050147,0.0,900,900,900,900,900,900,900,900,900,900,900
POST,/biocloud/v1/face/vis/register?nonce=8JGWnQIxlZ4zBJhf&timestamp=1732085612&signature=078fad48d72bf623a1361289b94a9ea28a56b901baaba0dbdd9f46431f23adb5&templateId=TeRdylL,1,0,746.7183999833651,746.7183999833651,746.7183999833651,746.7183999833651,81.0,0.01503358034050147,0.0,750,750,750,750,750,750,750,750,750,750,750
POST,/biocloud/v1/face/vis/register?nonce=8R0qDGUivcbkntzm&timestamp=1732085617&signature=6d0d27215f492c57214305cd68ac8364fc00f6f6d58dd9db8d5717a188872a4c&templateId=7YOLOLU,1,0,6373.54530004086,6373.54530004086,6373.54530004086,6373.54530004086,1558.0,0.01503358034050147,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
POST,/biocloud/v1/face/vis/register?nonce=8naCrUb794rVKseb&timestamp=1732085614&signature=d5b5ed717521a05052f0122749173a6abc356954b44a2d5d8cbe8da4c9925665&templateId=IpvpBup,1,0,5789.198500046041,5789.198500046041,5789.198500046041,5789.198500046041,1569.0,0.01503358034050147,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
POST,/biocloud/v1/face/vis/register?nonce=9PmoRx4YwAhgbNh0&timestamp=1732085632&signature=43731c16d8caad75924421f6c497574b73df9c922b2bbf3f1cc563f9802d8072&templateId=Fd5JXRR,1,0,3909.2517000390217,3909.2517000390217,3909.2517000390217,3909.2517000390217,1558.0,0.01503358034050147,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
POST,/biocloud/v1/face/vis/register?nonce=9wGef7r3u0i1tgWX&timestamp=1732085656&signature=86b85ad30d5df9953902e5f386abb00f2888366398ccd329951a96ba35f582c0&templateId=UPNPReA,1,0,1059.3497999943793,1059.3497999943793,1059.3497999943793,1059.3497999943793,81.0,0.01503358034050147,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/biocloud/v1/face/vis/register?nonce=BCtssvu4am7YUm1c&timestamp=1732085608&signature=bab4e1f9419a1b9beb27b1fa35171ca024d608ef6f4e75442517ac37c81558ef&templateId=RSEFXes,1,0,960.9868000261486,960.9868000261486,960.9868000261486,960.9868000261486,81.0,0.01503358034050147,0.0,960,960,960,960,960,960,960,960,960,960,960
POST,/biocloud/v1/face/vis/register?nonce=CBxRO8AHxcK321Yg&timestamp=1732085608&signature=01c1c8200699c3d41ef25dedcc86be8bccf523e0d90072e22095094f382cc7a7&templateId=Z6kRdSe,1,0,3057.226999953855,3057.226999953855,3057.226999953855,3057.226999953855,1558.0,0.01503358034050147,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
POST,/biocloud/v1/face/vis/register?nonce=FGNTkWkMqOvMc6nq&timestamp=1732085599&signature=ca6bf014b9b5dc7cd4d9832f4733ec65b0b4419f105f20548effcb05e2d4d68a&templateId=ogzrsu6,1,1,308.6168000008911,308.6168000008911,308.6168000008911,308.6168000008911,31.0,0.01503358034050147,0.01503358034050147,310,310,310,310,310,310,310,310,310,310,310
POST,/biocloud/v1/face/vis/register?nonce=Fs8qayYIpQqeHHFn&timestamp=1732085613&signature=90174711bd42dabd2ddc6535a92fccb32fdbd108404e80ca26e5e132d838b394&templateId=aO9uXBc,1,0,3663.0452999961562,3663.0452999961562,3663.0452999961562,3663.0452999961562,1558.0,0.01503358034050147,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
POST,/biocloud/v1/face/vis/register?nonce=Ftp6YZITR0oyvyY1&timestamp=1732085626&signature=5c22ba7308a4ecba12b5d2b576b7ecc46f356fe0a15672adb60683a2f8e585fa&templateId=znkjeIN,1,1,64.21349995071068,64.21349995071068,64.21349995071068,64.21349995071068,31.0,0.01503358034050147,0.01503358034050147,64,64,64,64,64,64,64,64,64,64,64
POST,/biocloud/v1/face/vis/register?nonce=GUEun1gvUT71lMFd&timestamp=1732085637&signature=12a9f5f572cbbbf656514441931e321056200aabfce614d448e0cb2826dd1c44&templateId=ER153Ek,1,0,3897.829500027001,3897.829500027001,3897.829500027001,3897.829500027001,1569.0,0.01503358034050147,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
POST,/biocloud/v1/face/vis/register?nonce=IS239XEhUEXbPACZ&timestamp=1732085661&signature=970e6b4d7d2798778b7cadfab14dda9b8738d336aa1d541dc2202dc8a1e203c4&templateId=X6yY2hy,1,0,1063.6437999783084,1063.6437999783084,1063.6437999783084,1063.6437999783084,81.0,0.01503358034050147,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/biocloud/v1/face/vis/register?nonce=IfuDRKbxLxXLtHIl&timestamp=1732085628&signature=72783cdd1e5392d9fd1830d7a1da792e1b41c43cf0a636b8395d7cd29417bbde&templateId=MEZuw2c,1,0,4144.384900049772,4144.384900049772,4144.384900049772,4144.384900049772,1558.0,0.01503358034050147,0.0,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,/biocloud/v1/face/vis/register?nonce=JYJqeUAEwf6DxdOM&timestamp=1732085624&signature=79f872a8008bd6d5802b9d9ea095597bdfcc915a59e25e08c5b822797f770dfd&templateId=megrzpU,1,1,179.0434999857098,179.0434999857098,179.0434999857098,179.0434999857098,31.0,0.01503358034050147,0.01503358034050147,180,180,180,180,180,180,180,180,180,180,180
POST,/biocloud/v1/face/vis/register?nonce=KI531wEiwuhoMDDk&timestamp=1732085603&signature=cfbfff5bfa478ccce4530a50c79b701a852e01928bcebfd1f0dc2bb3d1bf8c68&templateId=NqOzRKP,1,0,4223.359600000549,4223.359600000549,4223.359600000549,4223.359600000549,1558.0,0.01503358034050147,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
POST,/biocloud/v1/face/vis/register?nonce=L0c7TvEHWrCsJH7N&timestamp=1732085648&signature=cf41b335094494c2eb480920f0ea999df48c1cd38ba01dfb3ca7e399925a9788&templateId=Jr7Xh3I,1,0,4586.211399990134,4586.211399990134,4586.211399990134,4586.211399990134,1558.0,0.01503358034050147,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
POST,/biocloud/v1/face/vis/register?nonce=Qrqzv7Zl0Z5ihaH4&timestamp=1732085623&signature=86e52b03ddb3c5da8f59101b19e63ee2a16cb6d8ce9abd52a87bd991f976c24d&templateId=JFPRlQZ,1,0,3007.4926000088453,3007.4926000088453,3007.4926000088453,3007.4926000088453,1558.0,0.01503358034050147,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
POST,/biocloud/v1/face/vis/register?nonce=SaSXNOLU9y6h6E59&timestamp=1732085611&signature=f52f8be47b5464adb935b1db8c8db6201c2afeef0ca37730ca3c10f7beb9daea&templateId=mWXrLZZ,1,0,3016.006699996069,3016.006699996069,3016.006699996069,3016.006699996069,1558.0,0.01503358034050147,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
POST,/biocloud/v1/face/vis/register?nonce=Th1dQi7PD3wgR9qK&timestamp=1732085619&signature=3d98c245e2449102499dc6d70014031abd45efdab0aa947bffc9b14639bf35a7&templateId=Xs8Zvga,1,0,858.4867999888957,858.4867999888957,858.4867999888957,858.4867999888957,81.0,0.01503358034050147,0.0,860,860,860,860,860,860,860,860,860,860,860
POST,/biocloud/v1/face/vis/register?nonce=VMdMrdbND6kZ3GFT&timestamp=1732085629&signature=a43c790b86f18aed663108be472ff83597eece6ae3d3256891f7dda32283b56d&templateId=WpJ3X06,1,0,782.4644999927841,782.4644999927841,782.4644999927841,782.4644999927841,81.0,0.01503358034050147,0.0,780,780,780,780,780,780,780,780,780,780,780
POST,/biocloud/v1/face/vis/register?nonce=VnMPZttVdhooiiMs&timestamp=1732085611&signature=4b739924d86a31b5ae561c384cce4d90a0779f17434d09c66dbe87d454710a5a&templateId=7grrh2a,1,0,871.3524000486359,871.3524000486359,871.3524000486359,871.3524000486359,81.0,0.01503358034050147,0.0,870,870,870,870,870,870,870,870,870,870,870
POST,/biocloud/v1/face/vis/register?nonce=Vqg2m8n7LRpZMfuV&timestamp=1732085657&signature=750a720f288f80831b3f8a1264e7862bdefdb230b09744a5baa3524332f76049&templateId=imdyMPy,1,0,3080.137399956584,3080.137399956584,3080.137399956584,3080.137399956584,1558.0,0.01503358034050147,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
POST,/biocloud/v1/face/vis/register?nonce=W8qkwWlnPxV92hbn&timestamp=1732085649&signature=f568774a38ada84cf680ecefe239b56b878c300cd010737493a2f435f156f79d&templateId=1n3fVIz,1,0,5475.873599993065,5475.873599993065,5475.873599993065,5475.873599993065,1569.0,0.01503358034050147,0.0,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
POST,/biocloud/v1/face/vis/register?nonce=X3PJrHRONfhQuluG&timestamp=1732085635&signature=61732a6bfd7c3cc2786794238d3209dcb4a37828730ca88840c380388c70f086&templateId=28WwaUi,1,0,3895.0338999857195,3895.0338999857195,3895.0338999857195,3895.0338999857195,1569.0,0.01503358034050147,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
POST,/biocloud/v1/face/vis/register?nonce=XTfBoHP79K2AI5Xl&timestamp=1732085655&signature=ddac24dcb50318b9d2436ea52a354a7b25500a2cfe1c1c0caf1a29fdaf1ac220&templateId=nlfksCL,1,0,820.118099974934,820.118099974934,820.118099974934,820.118099974934,81.0,0.01503358034050147,0.0,820,820,820,820,820,820,820,820,820,820,820
POST,/biocloud/v1/face/vis/register?nonce=Z05PjhflKefPB5U5&timestamp=1732085650&signature=afaf0e7fa771c01c6bd32b1a6853d6df7fa8547c74e98b35857a1775d2375da7&templateId=gu7NxF4,1,0,762.9517000168562,762.9517000168562,762.9517000168562,762.9517000168562,81.0,0.01503358034050147,0.0,760,760,760,760,760,760,760,760,760,760,760
POST,/biocloud/v1/face/vis/register?nonce=ZKLWDfRGOdqQGbQP&timestamp=1732085628&signature=3fa21e3e74d56cea8932a910a044aa48cd5b06dd033cc6b00c6336c2c99c2488&templateId=rXoQrwk,1,0,2979.202600021381,2979.202600021381,2979.202600021381,2979.202600021381,1558.0,0.01503358034050147,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
POST,/biocloud/v1/face/vis/register?nonce=b4LgQ6hlzLK1pzXH&timestamp=1732085634&signature=fee3b62abbd8bac98fb4235b75fc4503052fd0fe062a55ce0292bf6af0943986&templateId=RqGQrXT,1,0,3260.0257000303827,3260.0257000303827,3260.0257000303827,3260.0257000303827,1569.0,0.01503358034050147,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
POST,/biocloud/v1/face/vis/register?nonce=b8ZRdPsvQGucVDGQ&timestamp=1732085651&signature=dc19e2e95cb116af9c0e4e6645d3c4f158608b34ae8e14a386c72b6047d2b89c&templateId=AsyUPrb,1,0,5034.162600000855,5034.162600000855,5034.162600000855,5034.162600000855,1569.0,0.01503358034050147,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
POST,/biocloud/v1/face/vis/register?nonce=dZXSmMIvLksWokvN&timestamp=1732085606&signature=1bf88dd49165d0494efa00a8913d5fc514275817fa5f5dd9cd8071456a82ca6e&templateId=XLgIxG6,1,0,838.3420999743976,838.3420999743976,838.3420999743976,838.3420999743976,81.0,0.01503358034050147,0.0,840,840,840,840,840,840,840,840,840,840,840
POST,/biocloud/v1/face/vis/register?nonce=e3AtPWAwVLBf3Kgk&timestamp=1732085630&signature=1722edacaa392a774da17ba207916293110c8199ca31db334a332577551d7dcf&templateId=6iCvWRa,1,0,848.5857000341639,848.5857000341639,848.5857000341639,848.5857000341639,81.0,0.01503358034050147,0.0,850,850,850,850,850,850,850,850,850,850,850
POST,/biocloud/v1/face/vis/register?nonce=fnvbYzjLvoAG8KSi&timestamp=1732085629&signature=40372925fe8c0cd88c968833a0c86ab4e9587c56ca7a53ac106bf16b5b712a1e&templateId=Vd0Jbip,1,0,4582.591300015338,4582.591300015338,4582.591300015338,4582.591300015338,1558.0,0.01503358034050147,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
POST,/biocloud/v1/face/vis/register?nonce=guLfFPKBmVDncitx&timestamp=1732085624&signature=42a5ca28ecc32007d2cc0379fdf1737565a391b1069511acf4f58c100d5c13d2&templateId=8xeHx18,1,0,1085.6803000206128,1085.6803000206128,1085.6803000206128,1085.6803000206128,81.0,0.01503358034050147,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/biocloud/v1/face/vis/register?nonce=gxxS9P1jqOvfeRb8&timestamp=1732085597&signature=35d16e601db1c450abe32396794c112f04b4ad83f23311c6f231255c17c6bea2&templateId=OceyIBM,1,0,3251.0203999700025,3251.0203999700025,3251.0203999700025,3251.0203999700025,1558.0,0.01503358034050147,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
POST,/biocloud/v1/face/vis/register?nonce=hfUuYPjfjRXId0Fm&timestamp=1732085645&signature=4633cf30d08379328b6b5c1e35c886e6ff6773416fc911f22a913c8c65c78a0e&templateId=ZK9wVfz,1,0,5099.042199959513,5099.042199959513,5099.042199959513,5099.042199959513,1558.0,0.01503358034050147,0.0,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
POST,/biocloud/v1/face/vis/register?nonce=jta1GHtd4sWnd2S0&timestamp=1732085603&signature=d672680de97f157927faf1238825ff11698f7107fe465fbbc068ac7a718f8fce&templateId=vYG80gh,1,0,2608.125300030224,2608.125300030224,2608.125300030224,2608.125300030224,1569.0,0.01503358034050147,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
POST,/biocloud/v1/face/vis/register?nonce=lGjuLoXrgElj7mD2&timestamp=1732085612&signature=58b92b3ae9a5e39763e2326b28d693749f56d4908291542148cdac357815a3f7&templateId=CYcvU55,1,0,3116.7287999996915,3116.7287999996915,3116.7287999996915,3116.7287999996915,1569.0,0.01503358034050147,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
POST,/biocloud/v1/face/vis/register?nonce=lsHbtuovLwGoMszY&timestamp=1732085655&signature=d435751ec46076f60444df897edddbbafee586ee2cea328f7c48694bc1f5f15c&templateId=Cf1hlYr,1,0,2878.502600011416,2878.502600011416,2878.502600011416,2878.502600011416,1569.0,0.01503358034050147,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
POST,/biocloud/v1/face/vis/register?nonce=mwN9tYAskXyGBgRt&timestamp=1732085602&signature=d99f28d0c2c1e7932a771a4310466315a6b80755dc9290c19286db8f7b653699&templateId=cybPxCq,1,0,854.7186999931,854.7186999931,854.7186999931,854.7186999931,81.0,0.01503358034050147,0.0,850,850,850,850,850,850,850,850,850,850,850
POST,/biocloud/v1/face/vis/register?nonce=nPzwVlKGWPiR2kRC&timestamp=1732085598&signature=72044cf66896d03d4b494802d8a8007308401c790b06064b47401cea378f46a8&templateId=HTdDRBQ,1,0,1137.1016000048257,1137.1016000048257,1137.1016000048257,1137.1016000048257,81.0,0.01503358034050147,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/biocloud/v1/face/vis/register?nonce=nhtJdZ6DojStoQPN&timestamp=1732085641&signature=c1f34f5966c351ab8e708d17027d543c7a74bb265ae51fef1af0262fa71b1aa6&templateId=mKGorBm,1,0,5998.0225000181235,5998.0225000181235,5998.0225000181235,5998.0225000181235,1569.0,0.01503358034050147,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
POST,/biocloud/v1/face/vis/register?nonce=o9sLUWJk0RCjXic7&timestamp=1732085605&signature=05a663c09e7a157de77954acaa3abeacf2bb0fd46dd7fed6e4e249d3a366f410&templateId=QIPu1NJ,1,0,4158.059899986256,4158.059899986256,4158.059899986256,4158.059899986256,1569.0,0.01503358034050147,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
POST,/biocloud/v1/face/vis/register?nonce=omDivU8pUMhICrJq&timestamp=1732085627&signature=efa0593a9a7d930931db54be7631ba323e71fd5045d5d0c5b4be9b5d7720d303&templateId=VPPZMwa,1,1,46.81920004077256,46.81920004077256,46.81920004077256,46.81920004077256,31.0,0.01503358034050147,0.01503358034050147,47,47,47,47,47,47,47,47,47,47,47
POST,/biocloud/v1/face/vis/register?nonce=p4hhguXThsYQc7kG&timestamp=1732085635&signature=26117a95c0ec033e11935d1d9df24d330a9997ae72027319efa387a702801820&templateId=veuBY5W,1,1,64.81920002261177,64.81920002261177,64.81920002261177,64.81920002261177,31.0,0.01503358034050147,0.01503358034050147,65,65,65,65,65,65,65,65,65,65,65
POST,/biocloud/v1/face/vis/register?nonce=rRD4lsjc11CjJXsN&timestamp=1732085626&signature=e67f8f2dc3f280aeed24f4b835eb23f6189e2e13beda505314391f3d4c0e0a7b&templateId=aaY9nWa,1,0,2868.588200013619,2868.588200013619,2868.588200013619,2868.588200013619,1558.0,0.01503358034050147,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
POST,/biocloud/v1/face/vis/register?nonce=uf4wn7xqTJuj0JfZ&timestamp=1732085654&signature=6cc28368f735071d4b1df557fd6f1887c93a36dccf703e63cbaecc03b82c9591&templateId=5GJHKeu,1,0,812.9147000145167,812.9147000145167,812.9147000145167,812.9147000145167,81.0,0.01503358034050147,0.0,810,810,810,810,810,810,810,810,810,810,810
POST,/biocloud/v1/face/vis/register?nonce=unbi3jbhve3Rbiwh&timestamp=1732085658&signature=345ab1d0e08459089f373b848fdb330d4abd6cab50f032a76c6b95d189ec2928&templateId=4CoJVj1,1,0,3640.2779999771155,3640.2779999771155,3640.2779999771155,3640.2779999771155,1558.0,0.01503358034050147,0.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
POST,/biocloud/v1/face/vis/register?nonce=wNd7uEmVuDSpLAPh&timestamp=1732085601&signature=f3f86dae5c130072ae5db9520e521ca6701523993a11b95bb8232542f097aba7&templateId=93lBgeg,1,0,1027.3837000131607,1027.3837000131607,1027.3837000131607,1027.3837000131607,81.0,0.01503358034050147,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/biocloud/v1/face/vis/register?nonce=wmtYmMeXjUe9lmAn&timestamp=1732085659&signature=5e20f011480321e2a9b55de573b0d1da5e3314621eabfda28f30a51127f80c46&templateId=dQXfgio,1,0,4366.365600028075,4366.365600028075,4366.365600028075,4366.365600028075,1569.0,0.01503358034050147,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
POST,/biocloud/v1/face/vis/register?nonce=xyluoksZQjl015Xv&timestamp=1732085616&signature=a9a2a1c05aecf823804975a395837093402c570e54c1e64f721b1eb6f1ee46b8&templateId=b3SDvW7,1,0,5481.685800012201,5481.685800012201,5481.685800012201,5481.685800012201,1569.0,0.01503358034050147,0.0,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
POST,/biocloud/v1/face/vis/register?nonce=zD3MUoKx08pCrLPT&timestamp=1732085638&signature=066f9c047542f6861c3c65850a930405f2896512cdf74b6411675230cd43db4e&templateId=B64AfZC,1,0,3898.8022000412457,3898.8022000412457,3898.8022000412457,3898.8022000412457,1569.0,0.01503358034050147,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
POST,/biocloud/v1/face/vis/register?nonce=zfy0hSCsI33nfhbI&timestamp=1732085638&signature=357aae5a3abbadc190b0308511d455ee0bf755e3546b9054cc2a5d99494d77b4&templateId=bbGhcV0,1,0,5279.635799990501,5279.635799990501,5279.635799990501,5279.635799990501,1558.0,0.01503358034050147,0.0,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
POST,/biocloud/v1/face/vis/register?nonce=zt9ZIttQBBSQXYxp&timestamp=1732085614&signature=2108bdb64ac7eeb5ef9fff3706b32740761db96b4fdfd88c8d93e1cdcd68cfd5&templateId=2lq6Lhf,1,0,4453.992800030392,4453.992800030392,4453.992800030392,4453.992800030392,1569.0,0.01503358034050147,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
,Aggregated,57,5,3100.0,2823.2024350936786,46.81920004077256,6568.3200000203215,986.6315789473684,0.8569140794085838,0.07516790170250735,3100,3900,4200,4500,5500,6000,6400,6600,6600,6600,6600
